               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.016304,            0.017568,          0.00086806,             0.92491,             0.78122,             0.81999,             0.56305,            0.023368,            0.035417,           0.0027373,              0.0065,              0.0065,              0.0065
                  37,             0.01757,            0.017534,          0.00085232,              0.9307,             0.72808,             0.81405,             0.55032,            0.023591,            0.034954,           0.0032269,              0.0064,              0.0064,              0.0064
                  38,            0.016783,            0.017613,          0.00088859,             0.88133,              0.7646,             0.81366,              0.5517,            0.023478,            0.034692,           0.0033604,              0.0063,              0.0063,              0.0063
                  39,            0.016261,            0.017158,          0.00083127,              0.8567,             0.81684,             0.83952,             0.56225,            0.022655,            0.034063,           0.0023999,              0.0062,              0.0062,              0.0062
                  40,            0.016383,            0.016382,           0.0010035,             0.92178,             0.78321,             0.83315,             0.56736,            0.022343,            0.033554,           0.0026308,              0.0061,              0.0061,              0.0061
                  41,            0.016983,            0.016405,          0.00086428,              0.8695,             0.77146,             0.82356,             0.56422,            0.022418,             0.03316,           0.0023923,               0.006,               0.006,               0.006
                  42,            0.015572,             0.01642,          0.00082785,             0.89714,              0.7693,             0.82134,             0.56641,            0.022714,            0.034321,           0.0027777,              0.0059,              0.0059,              0.0059
                  43,            0.016029,             0.01675,          0.00091384,              0.9008,             0.77186,             0.83818,             0.56667,             0.02259,            0.034964,           0.0026966,              0.0058,              0.0058,              0.0058
                  44,            0.016422,            0.016873,          0.00077578,             0.94621,             0.78633,             0.83811,             0.56611,            0.023148,            0.034907,           0.0022118,              0.0057,              0.0057,              0.0057
                  45,            0.015383,             0.01614,           0.0006899,             0.94926,             0.76672,             0.84642,             0.57452,            0.022793,            0.033798,           0.0024015,              0.0056,              0.0056,              0.0056
                  46,            0.016371,            0.016938,          0.00079165,             0.94017,             0.78446,             0.85373,             0.58305,            0.022694,            0.033035,           0.0025075,              0.0055,              0.0055,              0.0055
                  47,            0.015544,            0.016528,          0.00077973,             0.92621,             0.81591,             0.85594,             0.58324,            0.022763,            0.034392,           0.0021891,              0.0054,              0.0054,              0.0054
                  48,            0.015006,            0.015706,          0.00069778,             0.93868,             0.79339,             0.86114,             0.58034,             0.02283,            0.034819,           0.0021305,              0.0053,              0.0053,              0.0053
                  49,             0.01469,            0.015716,          0.00070174,             0.90373,             0.81486,             0.85843,             0.58972,            0.022461,            0.034846,           0.0026138,              0.0052,              0.0052,              0.0052
                  50,            0.015553,            0.016012,          0.00080176,             0.93343,             0.81971,               0.867,             0.59198,             0.02245,             0.03457,           0.0023939,              0.0051,              0.0051,              0.0051
                  51,            0.015036,            0.015489,          0.00081654,             0.90869,             0.81522,              0.8461,             0.58547,            0.022851,            0.035327,           0.0024002,               0.005,               0.005,               0.005
                  52,            0.014816,            0.015977,          0.00064833,             0.96001,             0.77605,             0.82628,             0.56688,            0.022758,            0.035355,           0.0024865,              0.0049,              0.0049,              0.0049
                  53,            0.015317,            0.016545,          0.00064794,              0.9511,               0.767,             0.83568,             0.57395,            0.022606,            0.034749,           0.0022992,              0.0048,              0.0048,              0.0048
                  54,            0.014462,            0.016144,          0.00060569,             0.92438,             0.78957,             0.83819,             0.58362,            0.022271,            0.034657,           0.0020017,              0.0047,              0.0047,              0.0047
                  55,            0.014461,            0.016001,          0.00063454,             0.91867,              0.8185,             0.83733,              0.5836,            0.022218,            0.035069,           0.0021011,              0.0046,              0.0046,              0.0046
                  56,            0.014716,            0.016063,          0.00052311,             0.94027,             0.81148,             0.85641,             0.59692,            0.021963,            0.034907,           0.0020109,              0.0045,              0.0045,              0.0045
                  57,            0.014216,            0.016522,          0.00060435,             0.92878,             0.82155,              0.8499,             0.58732,            0.022035,            0.034743,           0.0019295,              0.0044,              0.0044,              0.0044
                  58,            0.014027,             0.01563,           0.0006623,             0.94936,             0.80713,             0.83951,             0.59549,            0.021939,            0.034878,           0.0021074,              0.0043,              0.0043,              0.0043
                  59,            0.014768,            0.016752,          0.00067073,             0.93573,             0.81724,             0.83895,             0.58048,            0.022652,            0.035321,           0.0023778,              0.0042,              0.0042,              0.0042
                  60,            0.014356,             0.01569,          0.00063885,             0.91781,             0.79395,             0.83763,             0.58351,            0.022189,              0.0347,           0.0023938,              0.0041,              0.0041,              0.0041
                  61,            0.013568,             0.01577,          0.00060643,             0.92252,             0.81415,             0.85728,             0.59189,            0.022059,             0.03481,           0.0024768,               0.004,               0.004,               0.004
                  62,            0.013847,            0.016481,          0.00069757,             0.92692,             0.81116,             0.85779,              0.5968,            0.022105,            0.035255,           0.0024071,              0.0039,              0.0039,              0.0039
                  63,            0.013881,            0.015834,          0.00064624,              0.9368,              0.7973,              0.8579,             0.58561,            0.022261,            0.034221,           0.0020091,              0.0038,              0.0038,              0.0038
                  64,            0.013731,             0.01721,          0.00077257,             0.92495,             0.79697,               0.847,             0.58418,              0.0218,            0.033449,           0.0022889,              0.0037,              0.0037,              0.0037
                  65,            0.013495,            0.016069,           0.0008046,             0.91893,             0.82116,             0.86249,             0.58782,            0.021907,            0.033385,           0.0020219,              0.0036,              0.0036,              0.0036
                  66,            0.013616,            0.016248,          0.00089332,             0.93122,             0.78175,             0.85316,             0.58311,            0.022248,            0.033619,           0.0019275,              0.0035,              0.0035,              0.0035
                  67,            0.013726,            0.016347,          0.00076196,             0.92352,             0.78856,             0.84864,             0.58262,            0.022043,            0.033349,           0.0023017,              0.0034,              0.0034,              0.0034
                  68,            0.013173,            0.016545,          0.00082694,             0.91982,             0.80751,             0.85697,             0.58717,            0.022057,            0.033541,           0.0021205,              0.0033,              0.0033,              0.0033
                  69,            0.013496,            0.016165,          0.00073833,             0.90213,             0.80107,             0.85027,             0.58487,            0.022049,            0.033948,           0.0020253,              0.0032,              0.0032,              0.0032
                  70,            0.013487,            0.016308,          0.00063464,             0.87987,              0.8102,              0.8347,              0.5797,            0.022116,             0.03408,           0.0023358,              0.0031,              0.0031,              0.0031
                  71,            0.013337,            0.016869,          0.00062739,             0.93327,             0.81304,             0.85329,             0.59263,             0.02176,            0.033197,           0.0019684,               0.003,               0.003,               0.003
                  72,            0.013165,            0.016238,          0.00070988,             0.89985,             0.80367,              0.8538,             0.58836,            0.021889,            0.033122,           0.0018565,              0.0029,              0.0029,              0.0029
                  73,            0.012675,            0.015156,          0.00071916,             0.94045,             0.79568,             0.84877,             0.58562,            0.021904,            0.033347,           0.0017899,              0.0028,              0.0028,              0.0028
                  74,            0.013325,            0.017024,          0.00065447,             0.93018,              0.8168,             0.84305,             0.58349,            0.021936,            0.032815,            0.001814,              0.0027,              0.0027,              0.0027
                  75,            0.012812,            0.015589,          0.00074417,             0.93788,             0.80091,             0.84865,             0.58619,            0.022067,            0.033613,           0.0021175,              0.0026,              0.0026,              0.0026
                  76,            0.012696,            0.015832,          0.00060318,             0.93049,             0.81243,             0.84639,             0.58913,            0.021972,            0.033726,           0.0020958,              0.0025,              0.0025,              0.0025
                  77,            0.012323,            0.015238,          0.00061358,              0.9455,             0.77865,             0.82486,               0.577,            0.022004,            0.034492,           0.0021921,              0.0024,              0.0024,              0.0024
                  78,            0.012679,            0.015314,          0.00062334,              0.9156,             0.79248,             0.84312,             0.58229,            0.021925,             0.03412,           0.0020019,              0.0023,              0.0023,              0.0023
                  79,            0.012694,            0.015587,          0.00063459,             0.93658,             0.79116,             0.83925,             0.58412,            0.021995,            0.034404,           0.0021203,              0.0022,              0.0022,              0.0022
                  80,            0.012432,            0.015071,          0.00066754,             0.94356,             0.76906,             0.83706,             0.57705,            0.021821,            0.034282,            0.002684,              0.0021,              0.0021,              0.0021
                  81,            0.012327,            0.015478,           0.0005792,             0.93657,             0.79277,             0.84201,             0.57667,            0.021958,            0.034034,           0.0021566,               0.002,               0.002,               0.002
                  82,            0.012194,            0.015441,          0.00066052,             0.93771,             0.79025,             0.84081,             0.58075,             0.02183,            0.034252,           0.0020813,              0.0019,              0.0019,              0.0019
                  83,            0.011955,            0.014229,          0.00051847,             0.93868,             0.79968,              0.8417,             0.58953,            0.021824,            0.034257,           0.0017317,              0.0018,              0.0018,              0.0018
                  84,             0.01166,            0.013701,           0.0005128,              0.9352,             0.80659,             0.84515,             0.59033,            0.021786,            0.034444,           0.0017218,              0.0017,              0.0017,              0.0017
                  85,            0.011866,            0.014311,          0.00049539,             0.94571,             0.79297,              0.8494,              0.5863,            0.021865,            0.034715,           0.0017168,              0.0016,              0.0016,              0.0016
                  86,            0.011727,            0.014361,          0.00049117,             0.94438,             0.79447,             0.84348,             0.58739,            0.021809,            0.034523,           0.0019394,              0.0015,              0.0015,              0.0015
                  87,               0.012,            0.015989,          0.00056567,             0.94467,             0.80004,             0.84709,             0.58728,            0.021851,            0.034773,           0.0019258,              0.0014,              0.0014,              0.0014
                  88,            0.011789,            0.014869,          0.00042497,             0.94606,             0.79617,             0.84605,             0.58868,            0.021821,            0.034851,           0.0019917,              0.0013,              0.0013,              0.0013
                  89,            0.011902,            0.014733,          0.00057032,             0.93775,             0.79837,             0.84377,             0.58661,            0.021835,            0.034632,           0.0019035,              0.0012,              0.0012,              0.0012
                  90,            0.011693,            0.014308,          0.00070192,             0.94651,             0.78517,             0.84072,             0.59132,            0.021767,            0.034883,           0.0019503,              0.0011,              0.0011,              0.0011
                  91,              0.0118,             0.01548,          0.00041801,             0.95662,             0.77744,             0.84197,             0.58896,            0.021705,            0.035187,           0.0018883,               0.001,               0.001,               0.001
                  92,            0.011702,            0.014387,            0.000649,             0.93764,             0.79336,             0.84292,             0.58931,            0.021806,            0.035152,           0.0018893,              0.0009,              0.0009,              0.0009
                  93,            0.011362,            0.013937,          0.00056806,             0.93458,             0.79999,             0.84203,             0.58822,            0.021643,            0.035048,           0.0017106,              0.0008,              0.0008,              0.0008
                  94,            0.011496,            0.014867,          0.00065206,             0.93604,             0.80084,             0.84188,             0.58849,            0.021689,            0.034995,           0.0017424,              0.0007,              0.0007,              0.0007
                  95,            0.011406,            0.014112,          0.00048246,               0.935,             0.79464,             0.84047,             0.58525,            0.021789,            0.035052,            0.001743,              0.0006,              0.0006,              0.0006
                  96,            0.011166,            0.013944,          0.00047676,             0.93848,             0.79918,             0.84147,             0.58577,            0.021821,            0.035118,            0.001679,              0.0005,              0.0005,              0.0005
                  97,            0.011043,            0.013107,           0.0004365,             0.93766,             0.81314,             0.84573,             0.59356,            0.021829,            0.035007,           0.0016492,              0.0004,              0.0004,              0.0004
                  98,            0.011493,            0.015442,          0.00053303,             0.93324,             0.80118,             0.84285,             0.59321,            0.021777,            0.034887,            0.001665,              0.0003,              0.0003,              0.0003
